day,ts,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23
2016-04-22,1461283200,0.1632801161103048,0.11756168359941944,0.08668689800765272,0.07243699696529886,0.06966618287373004,0.07943000395830585,0.12415886000791661,0.20391872278664733,0.23960944715661697,0.26170998812508245,0.27516822799841667,0.2870431455337116,0.29291463253727407,0.2890222984562607,0.2904736772661301,0.28242512204776354,0.2723314421427629,0.2700224303997889,0.24924132471302282,0.22661300963187755,0.2195540308747856,0.24297400712495051,0.23261644016360997,0.17555086423010952
2016-04-23,1461369600,0.11406518010291596,0.07164533579627919,0.042683731362976644,0.03364559968333553,0.026850507982583455,0.029687293838237233,0.04129832431719224,0.06887452170471038,0.09315213088797994,0.13550600343053174,0.17040506663148172,0.18227998416677663,0.18089457712099222,0.169745348990632,0.14916215859612086,0.14797466684259136,0.14131151867000924,0.14375247394115317,0.14335664335664336,0.14005805515239478,0.13708932576857105,0.16426969257157936,0.16875577252935745,0.13128381052909355
2016-04-24,1461456000,0.08602718036680301,0.05330518538065708,0.036416413774904344,0.03377754321150547,0.030149096186832036,0.03562475260588468,0.05132603245810793,0.07586752869771737,0.10054096846549676,0.13154769758543344,0.14401636099749307,0.1420372080749439,0.13544003166644675,0.13266921757487796,0.13148172582134846,0.14335664335664336,0.14823855389893126,0.1616308220081805,0.17726613009631878,0.18551260060694022,0.18894313233935875,0.2223248449663544,0.2174429344240665,0.16453357962791926
2016-04-25,1461542400,0.10984298720147777,0.0695342393455601,0.05040242776091833,0.04149623960944716,0.04288164665523156,0.060364164137749046,0.11037076131415754,0.1962659981527906,0.24336983770946036,0.2618419316532524,0.26731758807230505,0.28519593613933236,0.29192505607599945,0.3105290935479615,0.3355983639002507,0.3428552579495976,0.33823723446364956,0.34252539912917274,0.33757751682279985,0.33454281567489114,0.3204248581607072,0.32543871223116505,0.32754980868188416,0.24805383295949335
2016-04-26,1461628800,0.21731099089589656,0.12937062937062938,0.09915556141971237,0.08022166512732551,0.07553766987729252,0.08259664863438448,0.1341865681488323,0.21724501913181157,0.2533315740862911,0.2728592162554427,0.2910014513788099,0.323195672252276,0.34061221797070856,0.3607336060166249,0.3788098693759071,0.38032721994986146,0.37729251880195275,0.38006333289352157,0.37102520121388044,0.3537405990236179,0.34575801556933633,0.3570391872278665,0.32570259928750495,0.2537274046708009
2016-04-27,1461715200,0.1832695606280512,0.1308879799445837,0.10291595197255575,0.08345428156748912,0.0811452698245151,0.09519725557461406,0.13352685050798258,0.21566169679377226,0.2517482517482518,0.26316136693495185,0.27708140915688084,0.2851299643752474,0.2880986937590711,0.2965430795619475,0.29964375247394115,0.29872014777675154,0.2970048819105423,0.28849452434358097,0.2830188679245283,0.2822931785195936,0.28321678321678323,0.3160047499670141,0.29660905132603244,0.23485948014249902
2016-04-28,1461801600,0.17568280775827946,0.13887056339886528,0.10562079430003958,0.09150283678585565,0.0911729779654308,0.10067291199366671,0.15087742446233013,0.2270088402163874,0.2737828209526323,0.2881646655231561,0.30248053832959493,0.3165325240796939,0.3205568016888772,0.3322997756960021,0.3355983639002507,0.34226151207283284,0.32873730043541366,0.3299907639530281,0.3230637287241061,0.3086818841535823,0.29951180894577123,0.32649426045652463,0.30980340414302676,0.24238026124818576
2016-04-29,1461888000,0.17693627127589392,0.12758939174033512,0.10133262963451643,0.08391608391608392,0.08002374983507059,0.08820424858160707,0.13471434226151208,0.21236310858952367,0.2537274046708009,0.2633592822272068,0.27787307032590053,0.2870431455337116,0.28776883493864625,0.28935215727668556,0.2985222324844966,0.2942340678189735,0.29014381844570525,0.281369573822404,0.26263359282227206,0.2427760918326956,0.23340810133262963,0.25181422351233673,0.24178651537142104,0.19659585697321547
2016-04-30,1461974400,0.137155297532656,0.09480142499010423,0.06887452170471038,0.05205172186304262,0.046378150151735055,0.053239213616572106,0.06267317588072305,0.08015569336324053,0.10865549544794828,0.14988784800105553,0.17271407837445574,0.1881514711703391,0.19197783348726746,0.190658398205568,0.18313761709988124,0.18162026652592692,0.18102652064916216,0.1878875841139992,0.19191186172318248,0.18333553239213615,0.18782161234991424,0.20226942868452302,0.19039451114922812,0.15490170207151338
2016-05-01,1462060800,0.11056867660641245,0.07646127457448212,0.055812112415886,0.039121256102388174,0.030215067950917007,0.031336587940361524,0.04096846549676739,0.055284338303206226,0.06775300171526587,0.10476316136693495,0.13055812112415885,0.1455996833355324,0.158134318511677,0.16657870431455338,0.17528697717376962,0.18340150415622114,0.1898007652724634,0.2097902097902098,0.22146721203324976,0.21750890618815147,0.21863042617759598,0.2365087742446233,0.22714078374455732,0.17785987597308353
2016-05-02,1462147200,0.12739147644808022,0.08582926507454809,0.06544398997229185,0.061683599419448475,0.05409684654967674,0.07144742050402428,0.11333949069798126,0.19342921229713683,0.23967541892070193,0.26302942340678187,0.2793904208998549,0.3015569336324053,0.30802216651273256,0.3202269428684523,0.3353344768439108,0.3332893521572767,0.31633460878743896,0.3072305053437129,0.29482781369573824,0.28974798786119543,0.2809077714738092,0.2887584113999208,0.2818973479350838,0.20873466156485024
2016-05-03,1462233600,0.1572107138144874,0.12310331178255707,0.09519725557461406,0.0811452698245151,0.08569732154637814,0.09104103443726085,0.13662752341997625,0.2220609579100145,0.2582794563926639,0.2712099221533184,0.28103971500197916,0.2879007784668162,0.28730703259005147,0.29430003958305845,0.2967409948542024,0.29218894313233934,0.28064388441746935,0.2684391080617496,0.2656023222060958,0.2576197387518142,0.2567621058187096,0.28400844438580286,0.27985222324844966,0.2274046708008972
2016-05-04,1462320000,0.16664467607863834,0.12244359414170734,0.10252012138804592,0.08892993798654177,0.08385011215199895,0.09275630030347011,0.14632537274046709,0.22641509433962265,0.262699564586357,0.2704182609842987,0.27318907507586754,0.2762897479878612,0.27760918326956063,0.2797862514843647,0.27516822799841667,0.27055020451246864,0.26342525399129174,0.269758543343449,0.26824119276949465,0.2692307692307692,0.27398073624488717,0.30201873598100015,0.2947618419316533,0.24198443066367595
2016-05-05,1462406400,0.17607863834278928,0.14342261512072832,0.12356511413115187,0.11155825306768703,0.1107006201345824,0.13220741522628315,0.1793112547829529,0.26382108457580156,0.3062409288824383,0.31006729119936666,0.3154769758543343,0.3127721335268505,0.31527906056207944,0.3113867264810661,0.3050534371289088,0.2916611690196596,0.2816334608787439,0.27866473149492016,0.27972027972027974,0.2692307692307692,0.27734529621322074,0.30083124422747065,0.3057131547697585,0.2469323129700488
2016-05-06,1462492800,0.18709592294497954,0.1428288692439636,0.12798522232484497,0.10891938250428816,0.11683599419448476,0.13273518933896292,0.17634252539912917,0.2577516822799842,0.2863174561287769,0.2890222984562607,0.2891542419844307,0.2920569996041694,0.2818973479350838,0.27840084443858026,0.27424462330122706,0.26329331046312177,0.251088534107402,0.23888375775168227,0.22516163082200819,0.20972423802612483,0.2044464968993271,0.22430399788890354,0.22859216255442671,0.19362712758939174
2016-05-07,1462579200,0.13200949993402825,0.0846417733210186,0.05792320886660509,0.051062145401768046,0.04670800897215992,0.06504815938778202,0.08853410740203194,0.10713814487399394,0.1323393587544531,0.16123499142367068,0.17693627127589392,0.172120332497691,0.17475920306108986,0.16426969257157936,0.16176276553635044,0.15984958437788627,0.15938778202929146,0.16268637023354005,0.155825306768703,0.15542947618419317,0.14619342921229714,0.17238421955403088,0.1772001583322338,0.14025597044464969
2016-05-08,1462665600,0.09216255442670537,0.059242644148304525,0.0274442538593482,0.01735057395434754,0.009038131679641114,0.010819369309935347,0.019197783348726745,0.032853938514315874,0.06095791001451379,0.10390552843383032,0.13154769758543344,0.14025597044464969,0.1376830716453358,0.13966222456788494,0.13821084575801557,0.13596780577912654,0.13491225755376698,0.13873861987069533,0.13840876105027047,0.148832299775696,0.15457184325108853,0.18920701939569864,0.1967278005013854,0.15991555614197123
